Year,Quarter,    Imports
2008,Q1,2571.4
2008,Q2,2679.9
2008,Q3,2697.2
2008,Q4,2311.6
2009,Q1,1913.4
2009,Q2,1864.5
2009,Q3,2002
2009,Q4,2152.9
2010,Q1,2241.9
2010,Q2,2337.3
2010,Q3,2404.9
2010,Q4,2475.9
2011,Q1,2595.8
2011,Q2,2695.3
2011,Q3,2715.3
2011,Q4,2739.1
2012,Q1,2784.3
2012,Q2,2780.7
2012,Q3,2744.5
2012,Q4,2745.8
2013,Q1,2761.7
2013,Q2,2767.8
2013,Q3,2767
2013,Q4,2777.9
2014,Q1,2856.4
2014,Q2,2903.9
2014,Q3,2878.1
2014,Q4,2894.2
2015,Q1,2827.3
2015,Q2,2811
2015,Q3,2787.4
2015,Q4,2730.2
2016,Q1,2692.8
2016,Q2,2703.4
2016,Q3,2741.3
2016,Q4,2805.8
2017,Q1,2878.4
2017,Q2,2882.1
2017,Q3,2880.1
2017,Q4,3021.6
